Modelo,MAE,RMSE,MAPE
SARIMA,16645734.064791756,20131214.308853105,30.83996688935936
Naive estacional,18822269.011666663,24562603.945589244,33.1144302171299
XGBoost,29297717.689999998,32753479.762276236,50.17694671253874
LSTM,72282351.22002669,88277844.74943182,81.84296153354508
Naive,113419603.27999999,124580429.6721507,435.00244381147235
