fecha,pred,lower,upper
2026-06-30,131392860.50794473,74582866.84582013,188202854.17006934
2026-07-31,161601228.14811245,104791234.48598784,218411221.81023705
2026-08-31,129890892.38083535,73080898.71871075,186700886.04295996
2026-09-30,184289292.18664327,127479298.52451867,241099285.84876788
2026-10-31,200796257.2326555,143986263.5705309,257606250.8947801
2026-11-30,229712994.29578203,172903000.63365743,286522987.9579066
